gender_id,division_id,category_id
1,1,1
1,1,2
1,1,4
1,1,6
1,1,8
1,1,9
1,1,10
1,1,11
1,2,2
1,2,4
1,2,6
1,2,8
1,2,9
1,2,10
1,2,14
1,2,15
1,3,2
1,3,4
1,3,6
1,3,8
1,3,9
1,3,10
1,3,14
1,3,15
1,4,2
1,4,4
1,4,6
1,4,8
1,4,9
1,4,10
1,4,14
1,4,15
2,1,3
2,1,5
2,1,7
2,1,9
2,1,12
2,1,13
2,1,16
2,1,17
2,2,5
2,2,7
2,2,9
2,2,12
2,2,13
2,2,16
2,2,18
2,2,19
2,3,5
2,3,7
2,3,9
2,3,12
2,3,13
2,3,16
2,3,18
2,3,19
2,4,5
2,4,7
2,4,9
2,4,12
2,4,13
2,4,16
2,4,18
2,4,19
